ListSize;InsertAtBeginning;InsertAtEnd;RemoveFromBeginning;RemoveFromEnd;;
100;600;100;900;700;0,0000009;0,0000007
50100;800;300;3100;2404700;0,0000031;0,0024047
100100;700;100;2800;3885300;0,0000028;0,0038853
150100;500;200;2300;4847300;0,0000023;0,0048473
200100;1000;200;3300;8500800;0,0000033;0,0085008
250100;800;200;2500;9217200;0,0000025;0,0092172
300100;900;400;3500;12165600;0,0000035;0,0121656
350100;600;200;2100;12703300;0,0000021;0,0127033
400100;500;200;2400;14192700;0,0000024;0,0141927
450100;500;100;2000;16589400;0,000002;0,0165894
500100;700;100;3400;21061500;0,0000034;0,0210615
550100;600;200;2700;22739300;0,0000027;0,0227393
600100;1100;200;2900;20473500;0,0000029;0,0204735
650100;700;200;2900;35177000;0,0000029;0,035177
700100;500;100;2100;20975100;0,0000021;0,0209751
750100;1000;200;2400;22863300;0,0000024;0,0228633
800100;500;100;2400;24151800;0,0000024;0,0241518
850100;800;100;2400;30055400;0,0000024;0,0300554
900100;500;200;2500;33898400;0,0000025;0,0338984
950100;800;100;2600;30208100;0,0000026;0,0302081
